Country,Population,GDP_per_capita,Unemployment_rate,Area
United States,331002651,65298,6.10%,9629091
China,1439323776,16708,3.80%,9640011
Japan,126476461,39058,2.80%,377975
Germany,83783942,55803,3.20%,357022
United Kingdom,67886011,44177,4.80%,242500
France,65273511,42633,7.90%,551695
Italy,60461826,33862,10.20%,301340
Canada,37742154,46832,7.10%,9976140
Australia,25499884,57317,5.60%,7692024
Spain,46754778,31161,14.20%,505992
Mexico,128932753,9877,3.60%,1964375
South Korea,51269185,36155,3.30%,100363
Netherlands,17134872,58824,3.80%,41543
Switzerland,8654622,82792,2.50%,41285
Sweden,10099265,52974,7.40%,450295
Belgium,11589616,48455,5.60%,30528
India,1380004385,2252,6.10%,3287263
Brazil,212559417,8711,13.90%,8515767
Russia,145934460,11309,4.70%,17098242
Saudi Arabia,34813867,23445,12.00%,2149690
